1018592 O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1ccc(N2CCCCC2)cc1 | 6-phospho-1-fructokinase
1020219 CC1C(=O)OC2C(O)C34C5OC(=O)[C@@]3(OC3OC(=O)[C@H](O)[C@]34C(C(C)(C)C)C5O)[C@]12O | MAP kinase ERK2
1027237 CS(=O)(=O)O.O.Oc1ccc2c3c1O[C@H]1c4oc5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314 | Serine-protein kinase ATM
1028487 Cc1cccc(NC(=O)C2C(C(=O)O)C3C=CC2C32CC2)c1C | Pyruvate kinase isozymes M1/M2
1052659 C[C@H]1CCC2(c3c1oc1c(Br)c(O)c(O)cc31)[C@H](C)CCCC2(C)C | PI3-kinase p110-alpha subunit
1088843 CCN1C(=O)C2(c3ccccc31)c1c(oc3ccc(F)cc3c1=O)C(=O)N2CCCOC | Serine/threonine-protein kinase mTOR
1092901 CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314 | 6-phospho-1-fructokinase
1117749 O=C1NCC2(CCNCC2)c2[nH]c(-c3ccnc(-c4ccc5c(c4)OCO5)n3)cc21 | MAP kinase-activated protein kinase 2
1138034 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc4[nH]cc(C)c34)CC2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138035 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc4[nH]cc(C)c34)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138036 CCOCCN(C[C@@H](O)CN1CCC2(CCN(c3ncnc4[nH]nc(C)c34)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138037 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc4[nH]nc(C)c34)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138038 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc4ccccc34)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138039 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncncc3C3CC3)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138040 CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc(N)c3C3CC3)C2)C1)S(=O)(=O)c1c(C)cccc1C | Serine/threonine-protein kinase AKT
1138041 Cc1cccc(C)c1S(=O)(=O)N1CCC[C@H]1[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1 | Serine/threonine-protein kinase AKT
1138042 Cc1cccc(C)c1S(=O)(=O)N1CCC[C@H]1[C@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1 | Serine/threonine-protein kinase AKT
1138044 Cc1cccc(C)c1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1 | Serine/threonine-protein kinase AKT
1138045 Cc1ccccc1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1 | Serine/threonine-protein kinase AKT
1138043 Cc1cccc(C)c1S(=O)(=O)N1CCC[C@@H]1[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1 | Serine/threonine-protein kinase AKT
1138046 Nc1ncnc(N2CC[C@@]3(CCCN(C[C@H](O)CNS(=O)(=O)c4ccccc4F)C3)C2)c1C1CC1 | Serine/threonine-protein kinase AKT
1138047 Nc1ncnc(N2CC[C@@]3(CCCN(C[C@H](O)CNS(=O)(=O)c4ccccc4Cl)C3)C2)c1C1CC1 | Serine/threonine-protein kinase AKT
