7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
212599 NC1=NC=NC2C1N=CN2C1CCC(CO)O1 | Adenosine kinase
215226 CO[C@H]1[C@@H](N(C)Cc2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215227 COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215228 CO[C@H]1[C@@H](N(C)CCC#N)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215277 CO[C@H]1[C@@H](N(C)C(=O)c2ccc(Cl)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215287 CO[C@H]1[C@@H](N(C)OC(=O)C(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
215288 COC(=O)CN1Cc2c(c3c4ccccc4n4c3c3c2c2ccccc2n3[C@]2(C)O[C@H]4C[C@H](N(C)C(=O)c3ccccc3)[C@@H]2OC)C1=O | Protein kinase C (PKC)
215322 CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N(Cc1ccccc1)C4 | Protein kinase C (PKC)
215380 CO[C@H]1[C@@H](N(C)C(=O)CNC(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215381 CO[C@H]1[C@@H](N(C)C(=O)C(F)(F)F)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215382 CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215403 CO[C@H]1[C@@H](N(C)C(=O)CCC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215431 CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
215436 CO[C@H]1[C@@H](N(C)C(=O)c2ccc(C(=O)O)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215437 COC(=O)c1ccc(C(=O)N(C)[C@H]2C[C@@H]3O[C@](C)([C@H]2OC)n2c4ccccc4c4c5c(c6c7ccccc7n3c6c42)C(=O)NC5)cc1 | Protein kinase C (PKC)
215438 COc1ccc(C(=O)N(C)[C@H]2C[C@@H]3O[C@](C)([C@H]2OC)n2c4ccccc4c4c5c(c6c7ccccc7n3c6c42)C(=O)NC5)cc1 | Protein kinase C (PKC)
215439 CO[C@H]1[C@@H](N(C)C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215441 CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O | Protein kinase C (PKC)
215442 CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
215443 CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)[C@@H](O)NC4=O | Protein kinase C (PKC)
215484 CO[C@H]1[C@@H](N(C)C(=O)c2cccnc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215485 CO[C@H]1[C@@H](N(C)C(=O)C2CCCCC2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215528 CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215529 CO[C@H]1[C@@H](N(C)C(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215559 CO[C@H]1[C@@H](N(C)C(=O)c2cccc(Cl)c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215592 CNC(=S)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215605 CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2Cl)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215606 CO[C@H]1[C@@H](N(C)C(=O)c2cnccn2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215646 CO[C@H]1[C@@H](N(C)C(=O)c2cccc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215645 CCCCC(O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215644 COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215720 CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
215776 CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)[C@H](O)NC4=O | Protein kinase C (PKC)
215777 CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O | Protein kinase C (PKC)
215778 CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O | Protein kinase C (PKC)
215779 CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
216224 CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
216268 CO[C@H]1[C@@H](N(C)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
216275 CO[C@H]1[C@@H]([N+](C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
216308 CCN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
216338 CC[N+](C)(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
230810 CC(=O)O[C@@H]1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(=CCC3C(CO)CCC(O)C(=O)C(C)(C)O)C21 | Protein kinase C alpha
232095 C[C@@]12O[C@@H](C[C@@]1(O)C(=O)O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O | Protein kinase C (PKC)
232097 CO[C@H]1[C@@H](O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
232172 CC(=O)OC[C@@]1(C)C(OC(C)=O)CC[C@]2(C)[C@H](CC(OC(C)=O)C3=CCOC3=O)[C@](C)(CO)CC[C@@H]12 | Protein kinase C alpha
234747 O=c1ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc2n1C1CC2CCC1C2 | Cyclin-dependent kinase 4/cyclin D
235029 O=c1ccc2cnc(Nc3ccccc3)nc2n1C1CC2CCC1C2 | Cyclin-dependent kinase 4/cyclin D
235103 CC(C)[C@H]1C(=O)N[C@H](CO)Cc2c[nH]c3ccc4c(c23)N1[C@@H](C)C4 | Protein kinase C gamma
235136 CC(C)[C@H]1C(=O)N[C@H](CO)Cc2c[nH]c3ccc4c(c23)N1[C@H](C)C4 | Protein kinase C gamma
235382 CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CC6CCC5C6)c4n3)cc2)CC1 | Cyclin-dependent kinase 4/cyclin D
235488 CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(C4CC5CCC4C5)c3n2)cc1 | Cyclin-dependent kinase 4/cyclin D
237402 CN1C2CCC1CC(Nc1cc(-c3ccccc3Cl)c3c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC3)C2 | MAP kinase p38
237884 CN1C2CCC1CC(Nc1cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccccc3Cl)n1)C2 | MAP kinase p38
242828 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1CCC[C@H]3N1Cc1ccccc1 | Protein kinase C (PKC)
243202 COCC1CC(COC)[C@@H]2N[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
243203 COCC1CC(COC)[C@@H]2N(Cc3ccccc3)[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
243211 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1CC[C@H]3N1 | Protein kinase C (PKC)
243242 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1CC[C@H]3N1Cc1ccccc1 | Protein kinase C (PKC)
243331 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1COC[C@H]3N1Cc1ccccc1 | Protein kinase C (PKC)
243571 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1COC[C@H]3N1 | Protein kinase C (PKC)
243650 CN1[C@@H]2CC[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
243704 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1CCC[C@H]3N1 | Protein kinase C (PKC)
243763 CN1[C@@H]2CCC[C@H]1n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O | Protein kinase C (PKC)
243912 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](N)CSSC[C@H](C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O | Urokinase plasminogen activator surface receptor
243913 CC(C)[C@@H]1NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C1=O | Urokinase plasminogen activator surface receptor
243958 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1N[C@@H]3[C@@H](O)[C@H](O)[C@H]1O | Protein kinase C (PKC)
243959 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H]3N1Cc1ccccc1 | Protein kinase C (PKC)
244167 CC(C)[C@@H]1NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](Cc2cccc3ccccc23)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C1=O | Urokinase plasminogen activator surface receptor
244250 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](N)CSSC[C@H](C(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O | Urokinase plasminogen activator surface receptor
256586 COn1cc2c3c(cccc31)[C@@H]1C=C(C)CN(C)[C@@H]1C2 | Tyrosine-protein kinase LCK
256792 CCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)CCCC | Protein kinase C alpha
257000 O=C(O[C@H]1CCC23CCCC[C@H](C=C(CO)C[C@H]12)C3=O)c1ccccc1 | Protein kinase C alpha
256999 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C alpha
257055 CC1=CC23CCCC[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)C3=O | Protein kinase C alpha
261950 CC1(C)OC2C=CC(=O)CC2O1 | PI4-kinase alpha subunit
262008 CC1(C)OC2CC(=O)C[C@@H](O)C2O1 | PI4-kinase alpha subunit
264865 O=C(OC[C@H](CO)OC(=O)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2 | Protein kinase C alpha
289481 CCCCCCCCCCCC(=O)Oc1ccc2c(c1)[C@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21 | Protein kinase C alpha
289750 CCCCCCCCCCCC(=O)Oc1ccc2c(c1)[C@@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21 | Protein kinase C alpha
289960 CCCCCCCCC#Cc1ccc2c(c1)[C@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21 | Protein kinase C alpha
293947 O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)C1CC1 | Adenosine kinase
294074 C[N+]1(C)C2CC(OC(=O)[C@H](CO)c3ccccc3)CC1C1OC12 | 6-phospho-1-fructokinase
294076 Brc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1 | Adenosine kinase
294189 Brc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1 | Adenosine kinase
294444 O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccc(F)cc1 | Adenosine kinase
294526 COCC(=O)Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1 | Adenosine kinase
294529 c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccc(-c7cccs7)cc6)nc45)CC32)cc1 | Adenosine kinase
294537 c1ccc(CN2C[C@@H]3CCCN(c4ncnc5oc(-c6ccccc6)nc45)[C@@H]3C2)cc1 | Adenosine kinase
294558 O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccc(F)cc1 | Adenosine kinase
294657 c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC32)cc1 | Adenosine kinase
294696 O=C(Cc1ccccc1)Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1 | Adenosine kinase
294779 c1ccc(CN2CC[C@H]3CN(c4ncnc5oc(-c6ccccc6)nc45)C[C@H]32)cc1 | Adenosine kinase
294823 O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccc(C(F)(F)F)cc1 | Adenosine kinase
294882 COCC(=O)Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1 | Adenosine kinase
294883 c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccncc6)nc45)CC32)cc1 | Adenosine kinase
294906 O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccc(C(F)(F)F)cc1 | Adenosine kinase
295016 O=C(Cc1ccccc1)Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1 | Adenosine kinase
295020 O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccccc1 | Adenosine kinase
295131 O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccccc1 | Adenosine kinase
295161 Fc1ccc(-c2ccc(-c3nc4c(N5CC6CCN(Cc7ccccc7)C6C5)ncnc4o3)cc2)cc1 | Adenosine kinase
295272 O=C1NCc2nc(Sc3ccc(F)cc3F)c(N3CC4CCC3C4)cc2N1c1c(Cl)cccc1Cl | MAP kinase p38
295280 c1ccc(CN2CCC3CN(c4ncnc5oc(-c6cccnc6)nc45)CC32)cc1 | Adenosine kinase
295285 Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1 | Adenosine kinase
295393 c1ccc(CN2CC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC3C2)cc1 | Adenosine kinase
295484 c1ccc(CN2CC[C@@H]3CN(c4ncnc5oc(-c6ccccc6)nc45)C[C@@H]32)cc1 | Adenosine kinase
295507 O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)C1CC1 | Adenosine kinase
295538 CN(C)c1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cn1 | Adenosine kinase
295537 Clc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cn1 | Adenosine kinase
295639 Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1 | Adenosine kinase
298127 O=c1cc(N2C[C@H]3C[C@@H]2CO3)oc2c1ccc1ccccc12 | DNA-dependent protein kinase
308472 CN[C@@H]1C[C@@H]2O[C@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Serine/threonine-protein kinase Chk1
322188 O=C1NC2C=CC=CC2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1 | Cyclin-dependent kinase 2
334404 CN1C2CCC1CC(c1cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c1)C2 | MAP kinase p38 alpha
334408 O=c1ccc2c(-c3ccc(F)cc3Cl)cc(C3CC4CCC(C3)N4)cc2n1-c1c(Cl)cccc1Cl | MAP kinase p38 alpha
334414 CC(C)N1C2CCC1CC(c1cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c1)C2 | MAP kinase p38 alpha
345743 CN(C)c1ccc2c(CC(=O)O[C@@H]3CC(=O)c4coc5c4[C@@]3(C)c3ccc4c(c3C5=O)CCC4=O)cc(=O)oc2c1 | PI3-kinase p110-alpha/p85-alpha
346000 COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CC[C@H](OC(=O)Cc3cc(=O)oc4cc(N(C)C)ccc34)[C@@]2(C)C[C@H]1OC(C)=O | PI3-kinase p110-alpha/p85-alpha
346008 COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(=O)CN(C)c1ccc([N+](=O)[O-])c2nonc12 | PI3-kinase p110-alpha/p85-alpha
346009 CN(CC(=O)O[C@@H]1CC(=O)c2coc3c2[C@@]1(C)c1ccc2c(c1C3=O)CCC2=O)c1ccc([N+](=O)[O-])c2nonc12 | PI3-kinase p110-alpha/p85-alpha
346017 COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CC[C@H](OC(=O)CN(C)c3ccc([N+](=O)[O-])c4nonc34)[C@@]2(C)C[C@H]1OC(C)=O | PI3-kinase p110-alpha/p85-alpha
346018 COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(=O)Cc1cc(=O)oc2cc(N(C)C)ccc12 | PI3-kinase p110-alpha/p85-alpha
346211 CCCCCCN1C[C@H]2C[C@@H](CO)NC(=O)[C@H](C(C)C)N(C)c3cccc1c32 | Protein kinase C alpha
347925 O=c1[nH]c2ccc(Cl)cc2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1 | Serine/threonine-protein kinase Chk1
347991 Oc1nc2ccc(Cl)c(Cl)c2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1 | Serine/threonine-protein kinase Chk1
347998 Cc1cccc2c(N[C@@H]3CN4CCC3CC4)c(-c3nc4ccccc4[nH]3)c(O)nc12 | Serine/threonine-protein kinase Chk1
348252 Oc1nc2ccccc2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1 | Serine/threonine-protein kinase Chk1
348260 Oc1nc2ccccc2c(N[C@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1 | Serine/threonine-protein kinase Chk1
348261 Cc1ccc2nc(O)c(-c3nc4ccccc4[nH]3)c(N[C@@H]3CN4CCC3CC4)c2c1 | Serine/threonine-protein kinase Chk1
351214 N#CC1=C(N)OC2=C(C(=O)CCC2)C1c1cn([C@H]2C[C@@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O | Thymidine kinase, cytosolic
354466 COC(=O)c1ccc(Nc2ncc3c(n2)N2CCC(=O)N2C(c2c(Cl)cccc2Cl)=C3)cc1 | Tyrosine-protein kinase LCK
354701 CNc1ncc2c(n1)N1CCC(=O)N1C(c1c(Cl)cccc1Cl)=C2 | Tyrosine-protein kinase LCK
354862 O=C1CCN2c3nc(Nc4ccc(N5CCOCC5)cc4)ncc3C=C(c3c(Cl)cccc3Cl)N12 | Tyrosine-protein kinase SRC
354947 CN(C)c1ccc(Nc2ncc3c(n2)N2CCC(=O)N2C(c2cc(O)ccc2Cl)=C3)cc1 | Tyrosine-protein kinase SRC
354976 COc1cccc(Nc2ncc3c(n2)N2CCC(=O)N2C(c2c(Cl)cccc2Cl)=C3)c1 | Tyrosine-protein kinase LCK
355010 COc1ccccc1Nc1ncc2c(n1)N1CCC(=O)N1C(c1c(Cl)cccc1Cl)=C2 | Tyrosine-protein kinase LCK
355011 CCOc1ccc(Nc2ncc3c(n2)N2CCC(=O)N2C(c2c(Cl)cccc2Cl)=C3)cc1 | Tyrosine-protein kinase LCK
355327 CN1CCN(c2ccc(Nc3ncc4c(n3)N3CCC(=O)N3C(c3cc(O)ccc3Cl)=C4)cc2)CC1 | Tyrosine-protein kinase SRC
358439 C[C@H](NC(=O)[C@@H](CO)NC(=O)C1C2CC3CC(C2)CC1C3)C(=O)NC(Cc1ccc(NC(=N)N)cc1)P(=O)(Oc1ccccc1)Oc1ccccc1 | Urokinase-type plasminogen activator
359404 O=C1c2cccc(-c3nc4ccccc4nc3O)c2C2CCCN12 | Cyclin-dependent kinase 4
359625 O=C1Nc2ccccc2CN1c1cccc2c1C1CCCN1C2=O | Cyclin-dependent kinase 4
363100 CN1CCN(c2ccc(Nc3ncc4ccn(C5CC6CCC5C6)c4n3)cc2)CC1 | Cyclin-dependent kinase 4
366544 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN2c3ccccc3CC2C1 | Receptor protein-tyrosine kinase erbB-2
369043 COC(=O)C1=C(C(=O)OC)C(=S)C2SC(=S)SC2C1=S | Serine/threonine-protein kinase AKT
372831 Cc1cn([C@@H]2O[C@H](CO)[C@H]3CNC(=S)O[C@H]32)c(=O)[nH]c1=O | Thymidylate kinase
372827 Cc1cn([C@@H]2O[C@H](CO)[C@H]3CNC(=O)O[C@H]32)c(=O)[nH]c1=O | Thymidylate kinase
372909 Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N2CCCNCC2)n1 | MAP kinase p38 alpha
373099 Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N2CCCN(C)CC2)n1 | MAP kinase p38 alpha
373109 Cc1ccc(C(N)=O)cc1Nc1nc(N)nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)n1 | MAP kinase p38 alpha
373118 Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N[C@H]2CCNC2)n1 | MAP kinase p38 alpha
373381 CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Glycogen synthase kinase-3 beta
388501 Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O | cAMP-dependent protein kinase (PKA)
403166 Clc1ccc(-c2n[nH]c(N3CCC4CCCCC4C3)c2-c2ccncc2)cc1 | MAP kinase p38
403168 Clc1ccc(-c2n[nH]c(N3CCCC4CCCCC43)c2-c2ccncc2)cc1 | MAP kinase p38
403174 Clc1ccc(-c2n[nH]c(N3CCN4CCC[C@H]4C3)c2-c2ccncc2)cc1 | MAP kinase p38
403930 Cc1cn([C@@H]2C[C@H](O)[C@@H](CNC(=S)NC34CC5CC(CC(C5)C3)C4)O2)c(=O)[nH]c1=O | Thymidylate kinase
408463 CCOC(=O)C1=C2C(=O)Oc3ccccc3C2N(C)C(=O)C1 | Serine/threonine-protein kinase PIM1
